Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
SK Raina (INDIA);10;0;12;8;1;0;125;1;v Bangladesh;Nottingham;06-Jun-09;
G Gambhir (INDIA);10;0;29;13;0;1;76.92;1;v New Zealand;Wellington;27-Feb-09;
MJ Guptill (NZ);10;0;15;19;1;0;52.63;2;v India;Wellington;27-Feb-09;
NL McCullum (NZ);10;1;3;4;1;1;250;2;v Australia;Sydney;15-Feb-09;
K Weeraratne (SL);10;1;13;10;1;0;100;1;v India;Colombo (RPS);10-Feb-09;
XM Marshall (WI);10;0;20;14;1;0;71.42;2;v New Zealand;Hamilton;28-Dec-08;
DR Flynn (NZ);10;0;20;7;0;1;142.85;1;v West Indies;Auckland;26-Dec-08;
SHT Kandamby (SL);10;0;-;14;0;0;71.42;1;v Pakistan;King City (NW);11-Oct-08;
CL White (AUS);10;1;12;6;1;0;166.66;1;v West Indies;Bridgetown;20-Jun-08;
SB Styris (NZ);10;0;34;22;0;0;45.45;1;v England;Manchester;13-Jun-08;
Shahid Afridi (PAK);10;0;7;8;1;0;125;1;v Bangladesh;Karachi;20-Apr-08;
JJ Roy (ENG);9;0;7;7;1;0;128.57;1;v Australia;Hobart;07-Feb-18;
KS Williamson (NZ);9;0;-;14;1;0;64.28;2;v Pakistan;Mount Maunganui;28-Jan-18;
Haris Sohail (PAK);9;0;14;10;1;0;90;1;v New Zealand;Wellington;22-Jan-18;
Sarfraz Ahmed (PAK);9;0;13;14;1;0;64.28;1;v New Zealand;Wellington;22-Jan-18;
AK Kitchen (NZ);9;0;5;3;0;1;300;1;v West Indies;Mount Maunganui;03-Jan-18;
Liton Das (BDESH);9;0;9;7;0;1;128.57;2;v South Africa;Potchefstroom;29-Oct-17;
MD Gunathilaka (SL);9;0;-;7;1;0;128.57;2;v Pakistan;Lahore;29-Oct-17;
Shoaib Malik (PAK);9;0;-;20;0;0;45;2;v Sri Lanka;Abu Dhabi;27-Oct-17;
TM Head (AUS);9;0;27;16;0;0;56.25;1;v India;Ranchi;07-Oct-17;
DT Christian (AUS);9;0;26;13;0;0;69.23;1;v India;Ranchi;07-Oct-17;
RG Sharma (INDIA);9;0;-;8;1;0;112.5;2;v Sri Lanka;Colombo (RPS);06-Sep-17;
DA Miller (SA);9;0;14;7;0;1;128.57;1;v England;Southampton;21-Jun-17;
Asghar Stanikzai (AFG);9;0;-;12;0;1;75;2;v West Indies;Basseterre;03-Jun-17;
Shoaib Malik (PAK);9;1;-;7;1;0;128.57;2;v West Indies;Port of Spain;02-Apr-17;
CH Morris (SA);9;1;9;7;0;1;128.57;1;v New Zealand;Auckland;17-Feb-17;
HH Pandya (INDIA);9;0;14;12;0;0;75;1;v England;Kanpur;26-Jan-17;
ADS Fletcher (WI);9;0;21;17;1;0;52.94;1;v Pakistan;Abu Dhabi;27-Sep-16;
KA Pollard (WI);9;0;25;17;0;0;52.94;1;v Pakistan;Dubai (DSC);23-Sep-16;
TM Head (AUS);9;1;10;10;0;1;90;2;v Sri Lanka;Colombo (RPS);09-Sep-16;
MS Dhoni (INDIA);9;0;19;13;1;0;69.23;1;v Zimbabwe;Harare;22-Jun-16;
Q de Kock (SA);9;0;7;6;2;0;150;2;v Sri Lanka;Delhi;28-Mar-16;
Mohammad Nabi (AFG);9;0;21;8;1;0;112.5;1;v West Indies;Nagpur;27-Mar-16;
L Ronchi (NZ);9;1;13;5;1;0;180;1;v Bangladesh;Kolkata;26-Mar-16;
