Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
Yuvraj Singh (INDIA);1;0;5;2;0;0;50;2;v Australia;Bridgetown;07-May-10;
YK Pathan (INDIA);1;0;6;5;0;0;20;2;v Australia;Bridgetown;07-May-10;
LJ Wright (ENG);1;1;5;3;0;0;33.33;2;v Pakistan;Bridgetown;06-May-10;
Aftab Ahmed (BDESH);1;0;12;3;0;0;33.33;2;v Australia;Bridgetown;05-May-10;
Nawroz Mangal (AFG);1;0;1;4;0;0;25;2;v South Africa;Bridgetown;05-May-10;
CR Ervine (ZIM);1;0;5;5;0;0;20;1;v New Zealand;Providence;04-May-10;
BJ Haddin (AUS);1;0;1;2;0;0;50;1;v Pakistan;Gros Islet;02-May-10;
Abdul Razzaq (PAK);1;0;2;2;0;0;50;2;v Australia;Gros Islet;02-May-10;
KA Pollard (WI);1;0;8;4;0;0;25;2;v Zimbabwe;Port of Spain;28-Feb-10;
JDP Oram (NZ);1;0;6;2;0;0;50;1;v Australia;Wellington;26-Feb-10;
MG Johnson (AUS);1;0;3;3;0;0;33.33;2;v New Zealand;Wellington;26-Feb-10;
DJ Hussey (AUS);1;0;4;3;0;0;33.33;1;v West Indies;Hobart;21-Feb-10;
JL Denly (ENG);1;0;8;3;0;0;33.33;2;v Pakistan;Dubai (DSC);19-Feb-10;
TR Birt (AUS);1;0;2;2;0;0;50;1;v Pakistan;Melbourne;05-Feb-10;
BJ Haddin (AUS);1;0;2;3;0;0;33.33;1;v Pakistan;Melbourne;05-Feb-10;
Fawad Alam (PAK);1;0;6;5;0;0;20;2;v Australia;Melbourne;05-Feb-10;
TM Dilshan (SL);1;0;5;3;0;0;33.33;1;v India;Mohali;12-Dec-09;
TM Dilshan (SL);1;0;3;3;0;0;33.33;2;v New Zealand;Colombo (RPS);04-Sep-09;
AD Mathews (SL);1;0;3;2;0;0;50;2;v New Zealand;Colombo (RPS);04-Sep-09;
PD McGlashan (NZ);1;0;2;1;0;0;100;1;v Sri Lanka;Colombo (RPS);02-Sep-09;
ST Jayasuriya (SL);1;0;7;3;0;0;33.33;2;v New Zealand;Colombo (RPS);02-Sep-09;
RS Bopara (ENG);1;0;-;3;0;0;33.33;2;v Australia;Manchester;30-Aug-09;
DE Bernard (WI);1;1;2;1;0;0;100;2;v Bangladesh;Basseterre;02-Aug-09;
DPMD Jayawardene (SL);1;0;5;4;0;0;25;1;v Pakistan;Lord's;21-Jun-09;
I Udana (SL);1;0;4;5;0;0;20;1;v Pakistan;Lord's;21-Jun-09;
AB de Villiers (SA);1;0;4;5;0;0;20;2;v Pakistan;Nottingham;18-Jun-09;
LJ Wright (ENG);1;0;7;7;0;0;14.28;1;v India;Lord's;14-Jun-09;
LJ Wright (ENG);1;0;8;6;0;0;16.66;1;v South Africa;Nottingham;11-Jun-09;
JS Foster (ENG);1;0;1;4;0;0;25;1;v South Africa;Nottingham;11-Jun-09;
AD Mascarenhas (ENG);1;0;1;3;0;0;33.33;1;v South Africa;Nottingham;11-Jun-09;
S Chanderpaul (WI);1;0;5;5;0;0;20;2;v Sri Lanka;Nottingham;10-Jun-09;
NT Broom (NZ);1;0;4;5;0;0;20;2;v South Africa;Lord's;09-Jun-09;
MEK Hussey (AUS);1;0;7;5;0;0;20;1;v Sri Lanka;Nottingham;08-Jun-09;
YK Pathan (INDIA);1;1;10;1;0;0;100;1;v Bangladesh;Nottingham;06-Jun-09;
RT Ponting (AUS);1;0;3;3;0;0;33.33;2;v South Africa;Centurion;29-Mar-09;
RT Ponting (AUS);1;0;7;5;0;0;20;1;v South Africa;Johannesburg;27-Mar-09;
NL McCullum (NZ);1;1;11;2;0;0;50;2;v India;Wellington;27-Feb-09;
Yuvraj Singh (INDIA);1;0;4;3;0;0;33.33;1;v New Zealand;Christchurch;25-Feb-09;
JD Ryder (NZ);1;0;5;4;0;0;25;2;v India;Christchurch;25-Feb-09;
PG Fulton (NZ);1;0;8;8;0;0;12.5;2;v Australia;Sydney;15-Feb-09;
V Sehwag (INDIA);1;0;4;1;0;0;100;2;v Sri Lanka;Colombo (RPS);10-Feb-09;
CH Gayle (WI);1;0;5;4;0;0;25;2;v New Zealand;Hamilton;28-Dec-08;
Shahid Afridi (PAK);1;0;-;2;0;0;50;2;v Sri Lanka;King City (NW);11-Oct-08;
S Matsikenyeri (ZIM);1;0;-;3;0;0;33.33;1;v Sri Lanka;King City (NW);10-Oct-08;
SHT Kandamby (SL);1;0;-;2;0;0;50;2;v Zimbabwe;King City (NW);10-Oct-08;
JM How (NZ);1;0;4;5;0;0;20;1;v England;Manchester;13-Jun-08;
Salman Butt (PAK);1;0;2;1;0;0;100;1;v Bangladesh;Karachi;20-Apr-08;
Dhiman Ghosh (BDESH);1;0;1;2;0;0;50;2;v Pakistan;Karachi;20-Apr-08;
C de Grandhomme (NZ);0;0;1;1;0;0;0;1;v England;Wellington;13-Feb-18;
CA Lynn (AUS);0;0;3;2;0;0;0;2;v England;Hobart;07-Feb-18;
Shafiqullah (AFG);0;0;-;1;0;0;0;1;v Zimbabwe;Sharjah;06-Feb-18;
Najibullah Zadran (AFG);0;0;-;4;0;0;0;2;v Zimbabwe;Sharjah;05-Feb-18;
AT Carey (AUS);0;1;3;0;0;0;-;2;v New Zealand;Sydney;03-Feb-18;
Faheem Ashraf (PAK);0;0;2;1;0;0;0;1;v New Zealand;Auckland;25-Jan-18;
KS Williamson (NZ);0;0;3;1;0;0;0;2;v Pakistan;Auckland;25-Jan-18;
Umar Amin (PAK);0;0;11;7;0;0;0;1;v New Zealand;Wellington;22-Jan-18;
Shadab Khan (PAK);0;0;1;1;0;0;0;1;v New Zealand;Wellington;22-Jan-18;
CAK Walton (WI);0;0;1;1;0;0;0;2;v New Zealand;Mount Maunganui;03-Jan-18;
CH Gayle (WI);0;0;4;2;0;0;0;2;v New Zealand;Mount Maunganui;03-Jan-18;
SS Iyer (INDIA);0;0;1;1;0;0;0;1;v Sri Lanka;Indore;22-Dec-17;
NLTC Perera (SL);0;0;4;1;0;0;0;2;v India;Indore;22-Dec-17;
DAS Gunaratne (SL);0;0;4;1;0;0;0;2;v India;Indore;22-Dec-17;
MS Dhoni (INDIA);0;1;3;0;0;0;-;1;v New Zealand;Thiruvananthapuram;07-Nov-17;
HH Pandya (INDIA);0;0;1;2;0;0;0;1;v New Zealand;Delhi;01-Nov-17;
C de Grandhomme (NZ);0;0;2;1;0;0;0;2;v India;Delhi;01-Nov-17;
EMDY Munaweera (SL);0;0;-;2;0;0;0;1;v Pakistan;Abu Dhabi;26-Oct-17;
MD Shanaka (SL);0;0;-;3;0;0;0;1;v Pakistan;Abu Dhabi;26-Oct-17;
V Kohli (INDIA);0;0;2;2;0;0;0;1;v Australia;Guwahati;10-Oct-17;
JJ Roy (ENG);0;0;1;1;0;0;0;2;v West Indies;Chester-le-Street;16-Sep-17;
MD Shanaka (SL);0;0;-;3;0;0;0;1;v India;Colombo (RPS);06-Sep-17;
LS Livingstone (ENG);0;0;2;1;0;0;0;1;v South Africa;Cardiff;25-Jun-17;
LE Plunkett (ENG);0;0;6;2;0;0;0;1;v South Africa;Cardiff;25-Jun-17;
RR Hendricks (SA);0;0;9;5;0;0;0;2;v England;Cardiff;25-Jun-17;
JT Smuts (SA);0;0;1;1;0;0;0;1;v England;Southampton;21-Jun-17;
Javed Ahmadi (AFG);0;0;-;2;0;0;0;1;v West Indies;Basseterre;05-Jun-17;
CAK Walton (WI);0;0;-;2;0;0;0;2;v Afghanistan;Basseterre;05-Jun-17;
Samiullah Shenwari (AFG);0;0;-;1;0;0;0;2;v West Indies;Basseterre;03-Jun-17;
DAS Gunaratne (SL);0;0;-;1;0;0;0;2;v Bangladesh;Colombo (RPS);06-Apr-17;
TAM Siriwardana (SL);0;0;-;1;0;0;0;2;v Bangladesh;Colombo (RPS);06-Apr-17;
Tamim Iqbal (BDESH);0;0;-;2;0;0;0;1;v Sri Lanka;Colombo (RPS);04-Apr-17;
Imad Wasim (PAK);0;0;-;2;0;0;0;1;v West Indies;Port of Spain;01-Apr-17;
Kamran Akmal (PAK);0;0;-;5;0;0;0;1;v West Indies;Port of Spain;30-Mar-17;
R Powell (WI);0;0;-;1;0;0;0;2;v Pakistan;Port of Spain;30-Mar-17;
MD Shanaka (SL);0;0;-;2;0;0;0;2;v Australia;Adelaide;22-Feb-17;
TAM Siriwardana (SL);0;0;2;1;0;0;0;2;v Australia;Geelong;19-Feb-17;
Q de Kock (SA);0;0;10;4;0;0;0;1;v New Zealand;Auckland;17-Feb-17;
C Munro (NZ);0;0;1;1;0;0;0;2;v South Africa;Auckland;17-Feb-17;
L Ronchi (NZ);0;0;1;1;0;0;0;2;v South Africa;Auckland;17-Feb-17;
TD Paine (AUS);0;0;7;0;0;0;-;1;v Sri Lanka;Melbourne;17-Feb-17;
WU Tharanga (SL);0;0;5;2;0;0;0;2;v Australia;Melbourne;17-Feb-17;
SW Billings (ENG);0;0;8;1;0;0;0;2;v India;Bengaluru;01-Feb-17;
JC Buttler (ENG);0;0;5;2;0;0;0;2;v India;Bengaluru;01-Feb-17;
WD Parnell (SA);0;1;-;0;0;0;-;1;v Sri Lanka;Centurion;20-Jan-17;
ST de Silva (SL);0;0;-;1;0;0;0;2;v South Africa;Centurion;20-Jan-17;
C Munro (NZ);0;0;3;3;0;0;0;1;v Bangladesh;Mount Maunganui;08-Jan-17;
L Ronchi (NZ);0;0;1;1;0;0;0;1;v Bangladesh;Mount Maunganui;06-Jan-17;
Imrul Kayes (BDESH);0;0;3;3;0;0;0;2;v New Zealand;Mount Maunganui;06-Jan-17;
Imrul Kayes (BDESH);0;0;6;2;0;0;0;1;v New Zealand;Napier;03-Jan-17;
Soumya Sarkar (BDESH);0;0;2;1;0;0;0;1;v New Zealand;Napier;03-Jan-17;
C Munro (NZ);0;0;7;2;0;0;0;2;v Bangladesh;Napier;03-Jan-17;
CAK Walton (WI);0;0;1;1;0;0;0;1;v Pakistan;Abu Dhabi;27-Sep-16;
NLTC Perera (SL);0;0;2;2;0;0;0;1;v Australia;Colombo (RPS);09-Sep-16;
LMP Simmons (WI);0;0;2;1;0;0;0;1;v India;Lauderhill;27-Aug-16;
JJ Roy (ENG);0;0;3;3;0;0;0;2;v Sri Lanka;Southampton;05-Jul-16;
MK Pandey (INDIA);0;0;2;1;0;0;0;1;v Zimbabwe;Harare;22-Jun-16;
CT Mutombodzi (ZIM);0;0;1;1;0;0;0;1;v India;Harare;20-Jun-16;
R Mutumbami (ZIM);0;1;-;4;0;0;0;1;v India;Harare;18-Jun-16;
KL Rahul (INDIA);0;0;-;1;0;0;0;2;v Zimbabwe;Harare;18-Jun-16;
JJ Roy (ENG);0;0;1;2;0;0;0;1;v West Indies;Kolkata;03-Apr-16;
MM Ali (ENG);0;0;2;2;0;0;0;1;v West Indies;Kolkata;03-Apr-16;
LMP Simmons (WI);0;0;5;1;0;0;0;2;v England;Kolkata;03-Apr-16;
EJG Morgan (ENG);0;0;1;1;0;0;0;2;v New Zealand;Delhi;30-Mar-16;
HDRL Thirimanne (SL);0;0;1;1;0;0;0;1;v South Africa;Delhi;28-Mar-16;
E Lewis (WI);0;0;8;7;0;0;0;2;v Afghanistan;Nagpur;27-Mar-16;
CJ Anderson (NZ);0;0;4;3;0;0;0;1;v Bangladesh;Kolkata;26-Mar-16;
Mushfiqur Rahim (BDESH);0;0;2;2;0;0;0;2;v New Zealand;Kolkata;26-Mar-16;
AD Hales (ENG);0;0;7;4;0;0;0;1;v Sri Lanka;Delhi;26-Mar-16;
Imad Wasim (PAK);0;0;1;1;0;0;0;2;v Australia;Mohali;25-Mar-16;
RR Rossouw (SA);0;0;3;2;0;0;0;1;v West Indies;Nagpur;25-Mar-16;
DJG Sammy (WI);0;0;1;1;0;0;0;2;v South Africa;Nagpur;25-Mar-16;
EJG Morgan (ENG);0;0;1;1;0;0;0;1;v Afghanistan;Delhi;23-Mar-16;
Gulbadin Naib (AFG);0;0;5;5;0;0;0;2;v England;Delhi;23-Mar-16;
D Wiese (SA);0;1;1;0;0;0;-;1;v Afghanistan;Mumbai;20-Mar-16;
TAM Siriwardana (SL);0;0;2;3;0;0;0;1;v West Indies;Bengaluru;20-Mar-16;
SK Raina (INDIA);0;0;1;1;0;0;0;2;v Pakistan;Kolkata;19-Mar-16;
Karim Sadiq (AFG);0;0;6;7;0;0;0;1;v Sri Lanka;Kolkata;17-Mar-16;
Imad Wasim (PAK);0;1;2;0;0;0;-;1;v Bangladesh;Kolkata;16-Mar-16;
Umar Akmal (PAK);0;0;6;2;0;0;0;1;v Bangladesh;Kolkata;16-Mar-16;
Soumya Sarkar (BDESH);0;0;2;2;0;0;0;2;v Pakistan;Kolkata;16-Mar-16;
J Charles (WI);0;0;3;2;0;0;0;2;v England;Mumbai;16-Mar-16;
Asghar Stanikzai (AFG);0;0;5;2;0;0;0;1;v Zimbabwe;Nagpur;12-Mar-16;
Mashrafe Mortaza (BDESH);0;0;1;1;0;0;0;1;v India;Dhaka;06-Mar-16;
Iftikhar Ahmed (PAK);0;1;1;0;0;0;-;2;v Sri Lanka;Dhaka;04-Mar-16;
MD Shanaka (SL);0;0;1;2;0;0;0;1;v Pakistan;Dhaka;04-Mar-16;
AB de Villiers (SA);0;0;1;1;0;0;0;2;v Australia;Durban;04-Mar-16;
Shahid Afridi (PAK);0;0;3;2;0;0;0;1;v Bangladesh;Dhaka;02-Mar-16;
Mohammad Mithun (BDESH);0;0;1;2;0;0;0;1;v Sri Lanka;Dhaka;28-Feb-16;
Soumya Sarkar (BDESH);0;0;7;3;0;0;0;1;v Sri Lanka;Dhaka;28-Feb-16;
RG Sharma (INDIA);0;0;2;2;0;0;0;2;v Pakistan;Dhaka;27-Feb-16;
AM Rahane (INDIA);0;0;5;1;0;0;0;2;v Pakistan;Dhaka;27-Feb-16;
HH Pandya (INDIA);0;0;1;2;0;0;0;2;v Pakistan;Dhaka;27-Feb-16;
MM Ali (ENG);0;0;1;1;0;0;0;1;v South Africa;Cape Town;19-Feb-16;
Yuvraj Singh (INDIA);0;0;-;1;0;0;0;1;v Sri Lanka;Ranchi;12-Feb-16;
TM Dilshan (SL);0;0;-;1;0;0;0;2;v India;Ranchi;12-Feb-16;
RG Sharma (INDIA);0;0;2;2;0;0;0;1;v Sri Lanka;Pune;09-Feb-16;
CT Bancroft (AUS);0;1;1;0;0;0;-;1;v India;Sydney;31-Jan-16;
SK Raina (INDIA);0;1;1;0;0;0;-;1;v Australia;Melbourne;29-Jan-16;
N Madziva (ZIM);0;0;5;4;0;0;0;2;v Bangladesh;Khulna;17-Jan-16;
Sohaib Maqsood (PAK);0;0;-;2;0;0;0;1;v New Zealand;Auckland;15-Jan-16;
CJ Anderson (NZ);0;0;-;2;0;0;0;2;v Pakistan;Auckland;15-Jan-16;
L Ronchi (NZ);0;0;-;4;0;0;0;2;v Pakistan;Auckland;15-Jan-16;
MJ Santner (NZ);0;0;-;4;0;0;0;2;v Pakistan;Auckland;15-Jan-16;
LM Jongwe (ZIM);0;0;-;1;0;0;0;1;v Bangladesh;Khulna;15-Jan-16;
TAM Siriwardana (SL);0;0;4;1;0;0;0;1;v New Zealand;Auckland;10-Jan-16;
MN Waller (ZIM);0;0;-;1;0;0;0;2;v Afghanistan;Sharjah;10-Jan-16;
E Chigumbura (ZIM);0;0;-;2;0;0;0;2;v Afghanistan;Sharjah;10-Jan-16;
TM Dilshan (SL);0;0;4;1;0;0;0;2;v New Zealand;Mount Maunganui;07-Jan-16;
JJ Roy (ENG);0;0;1;1;0;0;0;1;v Pakistan;Sharjah;30-Nov-15;
MM Ali (ENG);0;0;1;1;0;0;0;1;v Pakistan;Sharjah;30-Nov-15;
Rafatullah Mohmand (PAK);0;0;17;1;0;0;0;2;v England;Sharjah;30-Nov-15;
MM Ali (ENG);0;0;6;6;0;0;0;1;v Pakistan;Dubai (DSC);26-Nov-15;
Shahid Afridi (PAK);0;0;2;2;0;0;0;2;v England;Dubai (DSC);26-Nov-15;
SC Williams (ZIM);0;0;1;1;0;0;0;2;v Bangladesh;Dhaka;15-Nov-15;
E Chigumbura (ZIM);0;0;3;2;0;0;0;2;v Bangladesh;Dhaka;15-Nov-15;
RW Chakabva (ZIM);0;0;8;3;0;0;0;1;v Bangladesh;Dhaka;13-Nov-15;
E Chigumbura (ZIM);0;0;5;1;0;0;0;1;v Bangladesh;Dhaka;13-Nov-15;
LM Jongwe (ZIM);0;0;4;5;0;0;0;1;v Bangladesh;Dhaka;13-Nov-15;
J Charles (WI);0;0;2;2;0;0;0;2;v Sri Lanka;Pallekele;09-Nov-15;
CJ Chibhabha (ZIM);0;0;1;2;0;0;0;1;v Afghanistan;Bulawayo;28-Oct-15;
CR Ervine (ZIM);0;0;1;1;0;0;0;1;v Afghanistan;Bulawayo;26-Oct-15;
AT Rayudu (INDIA);0;0;4;2;0;0;0;1;v South Africa;Cuttack;05-Oct-15;
AT Rayudu (INDIA);0;0;1;1;0;0;0;1;v South Africa;Dharamsala;02-Oct-15;
CJ Chibhabha (ZIM);0;0;3;2;0;0;0;2;v Pakistan;Harare;27-Sep-15;
C Munro (NZ);0;0;5;1;0;0;0;1;v South Africa;Durban;14-Aug-15;
Anwar Ali (PAK);0;1;1;1;0;0;0;1;v Sri Lanka;Colombo (RPS);30-Jul-15;
MK Pandey (INDIA);0;0;-;3;0;0;0;2;v Zimbabwe;Harare;19-Jul-15;
Nasir Hossain (BDESH);0;0;6;2;0;0;0;2;v South Africa;Dhaka;07-Jul-15;
Soumya Sarkar (BDESH);0;0;3;0;0;0;-;2;v Pakistan;Dhaka;24-Apr-15;
RR Rossouw (SA);0;0;4;1;0;0;0;1;v West Indies;Durban;14-Jan-15;
DG Brownlie (NZ);0;0;3;2;0;0;0;1;v Pakistan;Dubai (DSC);05-Dec-14;
KS Williamson (NZ);0;0;1;1;0;0;0;1;v Pakistan;Dubai (DSC);04-Dec-14;
D Wiese (SA);0;0;-;1;0;0;0;1;v Australia;Sydney;09-Nov-14;
Q de Kock (SA);0;0;-;2;0;0;0;1;v Australia;Melbourne;07-Nov-14;
GJ Maxwell (AUS);0;0;-;2;0;0;0;2;v South Africa;Melbourne;07-Nov-14;
RR Hendricks (SA);0;0;2;3;0;0;0;2;v Australia;Adelaide;05-Nov-14;
Umar Amin (PAK);0;0;2;3;0;0;0;1;v Australia;Dubai (DSC);05-Oct-14;
Sohaib Maqsood (PAK);0;0;7;3;0;0;0;1;v Australia;Dubai (DSC);05-Oct-14;
MM Ali (ENG);0;0;2;2;0;0;0;1;v India;Birmingham;07-Sep-14;
L Ronchi (NZ);0;1;2;0;0;0;-;2;v West Indies;Roseau;05-Jul-14;
MS Dhoni (INDIA);0;1;3;1;0;0;0;2;v South Africa;Dhaka;04-Apr-14;
DJG Sammy (WI);0;1;2;0;0;0;-;2;v Sri Lanka;Dhaka;03-Apr-14;
DPMD Jayawardene (SL);0;0;3;0;0;0;-;1;v West Indies;Dhaka;03-Apr-14;
Anamul Haque (BDESH);0;0;8;6;0;0;0;1;v Australia;Dhaka;01-Apr-14;
Ahmed Shehzad (PAK);0;0;1;1;0;0;0;2;v West Indies;Dhaka;01-Apr-14;
Kamran Akmal (PAK);0;0;8;3;0;0;0;2;v West Indies;Dhaka;01-Apr-14;
BB McCullum (NZ);0;0;4;5;0;0;0;2;v Sri Lanka;Chittagong;31-Mar-14;
LRPL Taylor (NZ);0;0;8;5;0;0;0;2;v Sri Lanka;Chittagong;31-Mar-14;
JDS Neesham (NZ);0;0;1;1;0;0;0;2;v Sri Lanka;Chittagong;31-Mar-14;
Umar Akmal (PAK);0;0;3;2;0;0;0;1;v Bangladesh;Dhaka;30-Mar-14;
CL White (AUS);0;0;4;2;0;0;0;2;v India;Dhaka;30-Mar-14;
Shamsur Rahman (BDESH);0;0;1;1;0;0;0;1;v India;Dhaka;28-Mar-14;
KC Sangakkara (SL);0;0;6;1;0;0;0;1;v England;Chittagong;27-Mar-14;
MJ Lumb (ENG);0;0;2;5;0;0;0;2;v Sri Lanka;Chittagong;27-Mar-14;
MM Ali (ENG);0;0;1;1;0;0;0;2;v Sri Lanka;Chittagong;27-Mar-14;
LMP Simmons (WI);0;0;2;0;0;0;-;1;v Bangladesh;Dhaka;25-Mar-14;
AD Russell (WI);0;0;1;1;0;0;0;1;v Bangladesh;Dhaka;25-Mar-14;
DJ Bravo (WI);0;0;2;1;0;0;0;1;v Bangladesh;Dhaka;25-Mar-14;
Shakib Al Hasan (BDESH);0;0;1;1;0;0;0;2;v West Indies;Dhaka;25-Mar-14;
DJ Bravo (WI);0;0;1;1;0;0;0;1;v India;Dhaka;23-Mar-14;
S Dhawan (INDIA);0;0;10;3;0;0;0;2;v West Indies;Dhaka;23-Mar-14;
TM Dilshan (SL);0;0;4;1;0;0;0;1;v South Africa;Chittagong;22-Mar-14;
AD Hales (ENG);0;0;1;2;0;0;0;1;v New Zealand;Chittagong;22-Mar-14;
Mohammad Shahzad (AFG);0;0;1;1;0;0;0;1;v Bangladesh;Dhaka;16-Mar-14;
Nawroz Mangal (AFG);0;0;7;1;0;0;0;1;v Bangladesh;Dhaka;16-Mar-14;
BA Stokes (ENG);0;0;2;1;0;0;0;1;v West Indies;Bridgetown;13-Mar-14;
DR Smith (WI);0;0;1;1;0;0;0;2;v England;Bridgetown;13-Mar-14;
AD Russell (WI);0;0;2;2;0;0;0;2;v England;Bridgetown;13-Mar-14;
LJ Wright (ENG);0;0;3;1;0;0;0;2;v West Indies;Bridgetown;09-Mar-14;
JC Buttler (ENG);0;0;4;3;0;0;0;2;v West Indies;Bridgetown;09-Mar-14;
TM Dilshan (SL);0;0;4;3;0;0;0;1;v Bangladesh;Chittagong;12-Feb-14;
Mohammad Mithun (BDESH);0;0;2;1;0;0;0;2;v Sri Lanka;Chittagong;12-Feb-14;
DT Christian (AUS);0;0;2;2;0;0;0;1;v England;Sydney;02-Feb-14;
LJ Wright (ENG);0;0;4;2;0;0;0;1;v Australia;Melbourne;31-Jan-14;
CAK Walton (WI);0;0;3;3;0;0;0;1;v New Zealand;Wellington;15-Jan-14;
CJ Anderson (NZ);0;0;2;2;0;0;0;1;v West Indies;Auckland;11-Jan-14;
LMP Simmons (WI);0;0;7;4;0;0;0;2;v New Zealand;Auckland;11-Jan-14;
AD Russell (WI);0;0;1;2;0;0;0;2;v New Zealand;Auckland;11-Jan-14;
Umar Akmal (PAK);0;0;7;1;0;0;0;2;v Sri Lanka;Dubai (DSC);13-Dec-13;
Umar Amin (PAK);0;0;2;2;0;0;0;2;v Sri Lanka;Dubai (DSC);13-Dec-13;
Sohaib Maqsood (PAK);0;1;1;0;0;0;-;1;v South Africa;Cape Town;22-Nov-13;
H Davids (SA);0;0;3;2;0;0;0;1;v Pakistan;Dubai (DSC);15-Nov-13;
Mohammad Hafeez (PAK);0;0;1;1;0;0;0;2;v South Africa;Dubai (DSC);15-Nov-13;
Abdul Razzaq (PAK);0;0;1;1;0;0;0;2;v South Africa;Dubai (DSC);15-Nov-13;
Ahmed Shehzad (PAK);0;0;3;5;0;0;0;1;v South Africa;Dubai (DSC);13-Nov-13;
Mohammad Hafeez (PAK);0;0;2;2;0;0;0;1;v South Africa;Dubai (DSC);13-Nov-13;
NL McCullum (NZ);0;1;3;0;0;0;-;1;v Bangladesh;Dhaka;06-Nov-13;
L Ronchi (NZ);0;0;1;2;0;0;0;1;v Bangladesh;Dhaka;06-Nov-13;
GJ Bailey (AUS);0;0;2;3;0;0;0;1;v India;Rajkot;10-Oct-13;
JC Buttler (ENG);0;0;2;1;0;0;0;1;v Australia;Chester-le-Street;31-Aug-13;
EJG Morgan (ENG);0;0;11;3;0;0;0;2;v Australia;Southampton;29-Aug-13;
T Maruma (ZIM);0;0;2;2;0;0;0;2;v Pakistan;Harare;24-Aug-13;
H Davids (SA);0;0;1;1;0;0;0;1;v Sri Lanka;Hambantota;06-Aug-13;
BMAJ Mendis (SL);0;0;2;1;0;0;0;2;v South Africa;Colombo (RPS);02-Aug-13;
J Charles (WI);0;0;6;9;0;0;0;2;v Pakistan;Kingstown;28-Jul-13;
AD Hales (ENG);0;1;2;0;0;0;-;1;v New Zealand;The Oval;27-Jun-13;
LJ Wright (ENG);0;1;0;0;0;0;-;1;v New Zealand;The Oval;27-Jun-13;
C Munro (NZ);0;1;2;0;0;0;-;1;v England;The Oval;25-Jun-13;
JEC Franklin (NZ);0;0;2;1;0;0;0;1;v England;The Oval;25-Jun-13;
V Sibanda (ZIM);0;0;1;2;0;0;0;1;v Bangladesh;Bulawayo;11-May-13;
Nasir Hossain (BDESH);0;0;2;0;0;0;-;2;v Zimbabwe;Bulawayo;11-May-13;
Shamsur Rahman (BDESH);0;0;3;1;0;0;0;2;v Sri Lanka;Pallekele;31-Mar-13;
CH Morris (SA);0;0;1;1;0;0;0;2;v Pakistan;Centurion;03-Mar-13;
JL Ontong (SA);0;0;2;1;0;0;0;2;v Pakistan;Centurion;03-Mar-13;
F Behardien (SA);0;0;6;1;0;0;0;2;v Pakistan;Centurion;03-Mar-13;
AD Russell (WI);0;0;2;1;0;0;0;1;v Zimbabwe;North Sound;03-Mar-13;
BRM Taylor (ZIM);0;0;2;3;0;0;0;1;v West Indies;North Sound;02-Mar-13;
DM Bravo (WI);0;0;9;4;0;0;0;2;v Zimbabwe;North Sound;02-Mar-13;
LJ Wright (ENG);0;0;2;1;0;0;0;2;v New Zealand;Hamilton;12-Feb-13;
RK Kleinveldt (SA);0;1;2;0;0;0;-;1;v New Zealand;Port Elizabeth;26-Dec-12;
Umar Akmal (PAK);0;0;2;4;0;0;0;2;v India;Bengaluru;25-Dec-12;
Q de Kock (SA);0;1;1;0;0;0;-;1;v New Zealand;East London;23-Dec-12;
RJ Peterson (SA);0;0;2;1;0;0;0;1;v New Zealand;East London;23-Dec-12;
JEC Franklin (NZ);0;0;10;3;0;0;0;1;v South Africa;Durban;21-Dec-12;
RE Levi (SA);0;0;2;5;0;0;0;2;v New Zealand;Durban;21-Dec-12;
RA Jadeja (INDIA);0;1;3;0;0;0;-;2;v England;Pune;20-Dec-12;
TT Bresnan (ENG);0;0;3;1;0;0;0;1;v India;Pune;20-Dec-12;
J Charles (WI);0;0;3;5;0;0;0;1;v Sri Lanka;Colombo (RPS);07-Oct-12;
AD Russell (WI);0;0;2;1;0;0;0;1;v Sri Lanka;Colombo (RPS);07-Oct-12;
TM Dilshan (SL);0;0;3;3;0;0;0;2;v West Indies;Colombo (RPS);07-Oct-12;
DJ Hussey (AUS);0;0;2;2;0;0;0;2;v West Indies;Colombo (RPS);05-Oct-12;
Shahid Afridi (PAK);0;0;2;1;0;0;0;2;v Sri Lanka;Colombo (RPS);04-Oct-12;
HM Amla (SA);0;0;2;2;0;0;0;2;v India;Colombo (RPS);02-Oct-12;
RE Levi (SA);0;0;2;3;0;0;0;1;v Australia;Colombo (RPS);30-Sep-12;
G Gambhir (INDIA);0;0;2;2;0;0;0;2;v Pakistan;Colombo (RPS);30-Sep-12;
Nasir Jamshed (PAK);0;0;3;2;0;0;0;2;v South Africa;Colombo (RPS);28-Sep-12;
Shahid Afridi (PAK);0;0;2;1;0;0;0;2;v South Africa;Colombo (RPS);28-Sep-12;
C Kieswetter (ENG);0;0;2;2;0;0;0;2;v West Indies;Pallekele;27-Sep-12;
LJ Wright (ENG);0;0;2;1;0;0;0;2;v West Indies;Pallekele;27-Sep-12;
Mahmudullah (BDESH);0;0;3;2;0;0;0;1;v Pakistan;Pallekele;25-Sep-12;
AD Hales (ENG);0;0;4;2;0;0;0;2;v India;Colombo (RPS);23-Sep-12;
JA Morkel (SA);0;1;2;0;0;0;-;1;v Sri Lanka;Hambantota;22-Sep-12;
